cust_id,name,city,state,email,age,member,Channel
320, Jamie Turner,Joliet,IL, JamieTurner@gmail.com,10,no,email news blast
379, Silas Duncan,Visalia,CA, SilasDuncan@gmail.com,34,yes,email news blast
502, Nora Rodriguez,Oxnard,CA, NoraRodriguez@gmail.com,34,yes,email news blast
514, Finley Peterson,Odessa,TX, FinleyPeterson@gmail.com,18,yes,email news blast
536, Abigail Barnes,Providence,RI, AbigailBarnes@gmail.com,13,yes,email news blast
546,Alistair Kim,Cleveland,OH,AlistairKim@gmail.com,23,yes,email news blast
549, Callan Miller,New Orleans,LA, CallanMiller@gmail.com,38,yes,email news blast
581, Clove Simmons,Dearborn,MI, CloveSimmons@gmail.com,53,yes,email news blast
600, Nolan Long,Little Rock,AR, NolanLong@gmail.com,11,no,email news blast
618, Levi Baker,Corona,CA, LeviBaker@gmail.com,34,no,email news blast
644, Beau Campbell,Laredo,TX, BeauCampbell@gmail.com,27,no,email news blast
673, Micah Sanders,South Bend,IN, MicahSanders@gmail.com,30,no,email news blast
737, Orion Taylor,Richmond,VA, OrionTaylor@gmail.com,50,no,email news blast
738, Felicity Green,Sparks,NV, FelicityGreen@gmail.com,9,no,email news blast
800, Rhys Edwards,Fairfield,CA, RhysEdwards@gmail.com,17,yes,email news blast
802, Teagan Bailey,Indianapolis,IN, TeaganBailey@gmail.com,46,yes,email news blast
806, Ezra Ryans,Long Beach,CA, EzraRyans@gmail.com,15,yes,email news blast
815, Andrew Bennett,Richmond,VA, AndrewBennett@gmail.com,33,yes,email news blast
819, Harlan Cooper,Chandler,AZ, HarlanCooper@gmail.com,10,yes,email news blast
852, Isabella Lee,Palmdale,CA, IsabellaLee@aol.com,22,yes,email news blast
899, Fletcher Chang,Boulder,CO, FletcherChang@yahoo.com,36,yes,email news blast
910, Declan Hill,Spokane,WA, DeclanHill@yahoo.com,54,yes,email news blast
911, Dean Wallace,Gresham,OR, DeanWallace@yahoo.com,25,yes,email news blast
923,Myles Carter,Vancouver,WA,MylesCarter@yahoo.com,14,yes,email news blast
1016, Meadow Evans,Spokane,WA, MeadowEvans@yahoo.com,13,yes,email news blast
1031, Camille Harris,Alexandria,VA, CamilleHarris@hotmail.com,9,yes,email news blast
1045, Opal Day,Santa Maria,CA, OpalDay@hotmail.com,32,yes,email news blast
1049, Delaney Garcia,Yuma,AZ, DelaneyGarcia@hotmail.com,10,yes,email news blast
1112, Gwendolyn Foster,Chattanooga,TN, GwendolynFoster@hotmail.com,13,No,email news blast
1125, Adeline Williams,Antioch,CA, AdelineWilliams@hotmail.com,19,No,email news blast
1150, Eliza Rodriguez,Nashville ,TN, ElizaRodriguez@hotmail.com,13,No,email news blast
35, Aspen Thomas,Brownsville,TX, AspenThomas@gmail.com,11,no,google search
102, Stella Carter,Gresham,OR, StellaCarter@gmail.com,15,no,google search
165, Reese Long,Independence,MO, ReeseLong@gmail.com,19,yes,google search
206, Callahan gunnersan,The Woodlands,TX, Callahangunnersan@gmail.com,15,yes,google search
275, Nova Lee,Suffolk,VA, NovaLee@gmail.com,38,no,google search
279, Samuel Lafleur,Nashville ,TN, SamuelLafleur@gmail.com,39,no,google search
372, Theodore Cooper,Cape Coral,FL, TheodoreCooper@gmail.com,29,yes,google search
426, Henry Turner,Denver,CO, HenryTurner@gmail.com,33,yes,google search
444, Luke Hill,South Bend,IN, LukeHill@gmail.com,39,yes,google search
512, Aria Young,Port St. Lucie,FL, AriaYoung@gmail.com,49,yes,google search
539, Otto Tang,Lexington ,KY, OttoTang@gmail.com,23,yes,google search
631,Norah Chavez,Ontario,CA,NorahChavez@gmail.com,26,no,google search
646, Josephine Kelly,Denver,CO, JosephineKelly@gmail.com,24,no,google search
661, Maddox Stewart,Beaumont,TX, MaddoxStewart@gmail.com,22,no,google search
669, Harper Park,Rockford,IL, HarperPark@gmail.com,46,no,google search
713, Jamie Sanders,Murrieta,CA, JamieSanders@gmail.com,43,no,google search
723, Lydia Chang,Athens ,GA, LydiaChang@gmail.com,48,no,google search
739, Charlie Mitchell,Albany,NY, CharlieMitchell@gmail.com,31,no,google search
785, Nova Hill,Knoxville,TN, NovaHill@gmail.com,11,yes,google search
810, Clover Bailey,Newark,NJ, CloverBailey@gmail.com,15,yes,google search
887, Autumn Collins,Indianapolis,IN, AutumnCollins@yahoo.com,13,yes,google search
900, Charlotte Foster,Surprise,AZ, CharlotteFoster@yahoo.com,41,yes,google search
920, Forrest guthrie,Bridgeport,CT, Forrestguthrie@yahoo.com,34,yes,google search
931, Esme Campbell,Fontana,CA, EsmeCampbell@yahoo.com,19,yes,google search
945, Samuel Walker,New York,NY, SamuelWalker@yahoo.com,18,yes,google search
997, Dylan Harbaugh,Sterling Heights,MI, DylanHarbaugh@yahoo.com,16,yes,google search
1022, Scarlett Lee,Garland,TX, ScarlettLee@hotmail.com,18,yes,google search
1028, Julian Harris,Elizabeth,NJ, JulianHarris@hotmail.com,24,yes,google search
1032,Fynn Turner,Surprise,AZ,FynnTurner@hotmail.com,25,yes,google search
1157, Bellamy Allen,Pomona,CA, BellamyAllen@hotmail.com,38,No,google search
1163,Killian Won,Colorado Springs,CO,KillianWon@hotmail.com,50,No,google search
59, Juno Wang,New York,NY, JunoWang@gmail.com,30,no,instagram
66, Jackson Barnes,Las Cruces,NM, JacksonBarnes@gmail.com,37,no,instagram
80, Julian guthrie,North Las Vegas,NV, Julianguthrie@gmail.com,17,no,instagram
97, Matilda Hughes,Edison,NJ, MatildaHughes@gmail.com,19,no,instagram
98, Adelaide Stewart,Las Cruces,NM, AdelaideStewart@gmail.com,30,no,instagram
129,Sofia Murphy,Detroit,MI,SofiaMurphy@gmail.com,48,yes,instagram
221, Sebastian Roberts,Brownsville,TX, SebastianRoberts@gmail.com,54,yes,instagram
467, Callahan Miller,Jurupa Valley,CA, CallahanMiller@gmail.com,24,yes,instagram
472, Acorn Jackson,Columbia,MD, AcornJackson@gmail.com,13,yes,instagram
590,Aiden Ramirez,Goodyear,AZ,AidenRamirez@gmail.com,27,yes,instagram
601, Clara Evans,Boston,MA, ClaraEvans@gmail.com,43,no,instagram
639, Oakley Martin,Des Moines,IA, OakleyMartin@gmail.com,20,no,instagram
676, Nora Won,Quincy,MA, NoraWon@gmail.com,44,no,instagram
693, Maeve Robinson,Downey,CA, MaeveRobinson@gmail.com,30,no,instagram
696,Elliott Murphy,Rockford,IL,ElliottMurphy@gmail.com,16,no,instagram
768, Gavin Roberts,Albany,NY, GavinRoberts@gmail.com,10,no,instagram
797, Harper Tang,Tuscaloosa,AL, HarperTang@gmail.com,10,yes,instagram
842, Saoirse Cruz,Charlotte,NC, SaoirseCruz@aol.com,48,yes,instagram
850, Iris Campbell,Winston-Salem,NC, IrisCampbell@aol.com,29,yes,instagram
880, Hazel Day,Oklahoma City,OK, HazelDay@yahoo.com,28,yes,instagram
885, Grace Foster,Eugene,OR, GraceFoster@yahoo.com,35,yes,instagram
978, Theodore Perez,Centennial,CO, TheodorePerez@yahoo.com,39,yes,instagram
1002, Harlow Sanchez,Olathe,KS, HarlowSanchez@yahoo.com,21,yes,instagram
1078, Hunter Walker,Allen,TX, HunterWalker@hotmail.com,40,yes,instagram
1134, Briar Kelly,Columbia,MD, BriarKelly@hotmail.com,15,No,instagram
70, Rhett Nelson,Lee's Summit,MO, RhettNelson@gmail.com,23,no,referred by someone
92, Mabel Tomlin,Richardson,TX, MabelTomlin@gmail.com,13,yes,referred by someone
100, Benjamin Sanders,Evansville,IN, BenjaminSanders@gmail.com,8,no,referred by someone
108, Mila Evans,Frisco,TX, MilaEvans@gmail.com,45,no,referred by someone
122, Brody Murray,Fort Collins,CO, BrodyMurray@gmail.com,27,yes,referred by someone
139, Arden Walker,Corona,CA, ArdenWalker@gmail.com,33,yes,referred by someone
151, Eva Lafleur,Costa Mesa,CA, EvaLafleur@gmail.com,26,yes,referred by someone
218, Aria gunderson,Rochester,NY, Ariagunderson@gmail.com,24,yes,referred by someone
232, Nora Lee,Riverview,FL, NoraLee@gmail.com,51,yes,referred by someone
267,Lilah Allen,Riverside,CA,LilahAllen@gmail.com,26,no,referred by someone
274, Luca King,Portland,OR, LucaKing@gmail.com,45,no,referred by someone
350, Athena Young,Hayward,CA, AthenaYoung@gmail.com,22,yes,referred by someone
356, Emmett Kim,Round Rock,TX, EmmettKim@gmail.com,34,yes,referred by someone
375, Daniel Thompson,Buckeye,AZ, DanielThompson@gmail.com,44,yes,referred by someone
419, Celeste Peterson,Eugene,OR, CelestePeterson@gmail.com,43,yes,referred by someone
438, Skye Lewis,Lafayette,LA, SkyeLewis@gmail.com,47,yes,referred by someone
452, Jude Simmons,Columbia,MD, JudeSimmons@gmail.com,18,yes,referred by someone
510,Norah Davis,Baton Rouge,LA,NorahDavis@gmail.com,25,yes,referred by someone
562, Sadie White,Provo,UT, SadieWhite@gmail.com,45,yes,referred by someone
656, Felix Griffin,El Paso,TX, FelixGriffin@gmail.com,23,no,referred by someone
660, Margot gunderson,El Paso,TX, Margotgunderson@gmail.com,54,no,referred by someone
682, Rhett Mitchell,Chattanooga,TN, RhettMitchell@gmail.com,26,no,referred by someone
689, Maya Wilson,Tuscaloosa,AL, MayaWilson@gmail.com,20,no,referred by someone
714, Saoirse Roberts,Glendale,AZ, SaoirseRoberts@gmail.com,44,no,referred by someone
747, Archer Stewart,Sacramento,CA, ArcherStewart@gmail.com,53,no,referred by someone
748, Jade Perez,West Covina,CA, JadePerez@gmail.com,43,no,referred by someone
779, Blake gunthers,Omaha,NE, Blakegunthers@gmail.com,23,yes,referred by someone
822, Elizabeth Simmons,West Palm Beach,FL, ElizabethSimmons@gmail.com,18,yes,referred by someone
835, Camden Williams,Thornton,CO, CamdenWilliams@aol.com,25,yes,referred by someone
970, Astrid Sanders,Ontario,CA, AstridSanders@yahoo.com,53,yes,referred by someone
1062, Ronan Collins,Peoria,IL, RonanCollins@hotmail.com,14,yes,referred by someone
1066, Adam Harbaugh,Hillsboro,OR, AdamHarbaugh@hotmail.com,26,yes,referred by someone
1105, Marley Johnson,Independence,MO, MarleyJohnson@hotmail.com,14,yes,referred by someone
1106, Vivian Hernandez,Pomona,CA, VivianHernandez@hotmail.com,48,No,referred by someone
1151, Luca Sanchez,Cedar Rapids,IA, LucaSanchez@hotmail.com,39,No,referred by someone
19, Axel Taylor,Fontana,CA, AxelTaylor@gmail.com,11,no,tv show
38, Hudson Campbell,Jersey City,NJ, HudsonCampbell@gmail.com,39,no,tv show
180, Akira King,Quincy,MA, AkiraKing@gmail.com,14,yes,tv show
222, Emerson Harbaugh,Quincy,MA, EmersonHarbaugh@gmail.com,27,yes,tv show
245, Jane Vrabel,Memphis,TN, JaneVrabel@gmail.com,19,yes,tv show
352, Raine Long,Davenport,IA, RaineLong@gmail.com,23,yes,tv show
367, Otto Cooper,Orlando,FL, OttoCooper@gmail.com,18,yes,tv show
387, Archie Taylor,West Covina,CA, ArchieTaylor@gmail.com,19,yes,tv show
406, Cameron Peterson,St. Petersburg,FL, CameronPeterson@gmail.com,33,yes,tv show
457, Eva Garcia,Davenport,IA, EvaGarcia@gmail.com,30,yes,tv show
469, Hannah Murphy,Sacramento,CA, HannahMurphy@gmail.com,45,yes,tv show
486, Elijah Murphy,Portland,OR, ElijahMurphy@gmail.com,26,yes,tv show
503, Ruth Kim,Fort Worth,TX, RuthKim@gmail.com,9,yes,tv show
638, Evelyn Murphy,Akron,OH, EvelynMurphy@gmail.com,49,no,tv show
651, Brody Won,Springfield,IL, BrodyWon@gmail.com,30,no,tv show
653, Eli Thomas,Evansville,IN, EliThomas@gmail.com,45,no,tv show
678, Elizabeth ichiro,Louisville ,KY, Elizabethichiro@gmail.com,37,no,tv show
697, Aero Baker,Chicago,IL, AeroBaker@gmail.com,17,no,tv show
736, Addison Nichols,Yuma,AZ, AddisonNichols@gmail.com,8,no,tv show
750, Elias Wallace,Murfreesboro,TN, EliasWallace@gmail.com,32,no,tv show
771, Ezra Walker,Buckeye,AZ, EzraWalker@gmail.com,32,no,tv show
818, Harper Sanchez,Tuscaloosa,AL, HarperSanchez@gmail.com,16,yes,tv show
823, Esme Nichols,Richmond,VA, EsmeNichols@gmail.com,48,yes,tv show
825, Riley Kelly,Irvine,CA, RileyKelly@gmail.com,38,yes,tv show
849, Dorian Smith,Alexandria,VA, DorianSmith@aol.com,39,yes,tv show
864, Aero Wang,Newport News,VA, AeroWang@aol.com,17,yes,tv show
878, Maeve Duncan,Overland Park,KS, MaeveDuncan@yahoo.com,21,yes,tv show
961, Liam King,Amarillo,TX, LiamKing@yahoo.com,11,yes,tv show
972, Fletcher Perez,Lincoln,NE, FletcherPerez@yahoo.com,17,yes,tv show
981, Amari Evans,Las Cruces,NM, AmariEvans@yahoo.com,53,yes,tv show
1030, Piper Graham,Des Moines,IA, PiperGraham@hotmail.com,51,yes,tv show
1052, Gemma Lafleur,New Bedford,MA, GemmaLafleur@hotmail.com,49,yes,tv show
1079, Robin Griffin,Sandy Springs,GA, RobinGriffin@hotmail.com,26,yes,tv show
1100, Holden Allen,Lansing,MI, HoldenAllen@hotmail.com,28,yes,tv show
1124, Stella Peterson,Little Rock,AR, StellaPeterson@hotmail.com,18,No,tv show
75,Norah King,San Jose,CA,NorahKing@gmail.com,11,no,tik tok
123, Skye Ryans,Baltimore,MD, SkyeRyans@gmail.com,18,yes,tik tok
157, Sawyer Sanders,Elgin,IL, SawyerSanders@gmail.com,38,yes,tik tok
184, Eliza Harbaugh,Burbank,CA, ElizaHarbaugh@gmail.com,34,yes,tik tok
251, Wren Edwards,Philadelphia,PA, WrenEdwards@gmail.com,10,yes,tik tok
290, Arlo Allen,Minneapolis,MN, ArloAllen@gmail.com,10,no,tik tok
317,Greyson Morgan,Toledo,OH,GreysonMorgan@gmail.com,26,no,tik tok
410,Xavier Walker,Worcester,MA,XavierWalker@gmail.com,14,yes,tik tok
414, Winter Martin,Los Angeles,CA, WinterMartin@gmail.com,26,yes,tik tok
442, Piper gunthers,Centennial,CO, Pipergunthers@gmail.com,39,yes,tik tok
465, Finley Cruz,Aurora,CO, FinleyCruz@gmail.com,25,yes,tik tok
521, Mabel King,Glendale,AZ, MabelKing@gmail.com,14,yes,tik tok
550, Milo gunthers,Pueblo,CO, Milogunthers@gmail.com,41,yes,tik tok
553, Kai Bennett,Syracuse,NY, KaiBennett@gmail.com,50,yes,tik tok
588,Lukas Thompson,St. Paul,MN,LukasThompson@gmail.com,27,yes,tik tok
654, Malachi Scott,South Fulton,GA, MalachiScott@gmail.com,29,no,tik tok
722, Olivia Tomlin,Spokane,WA, OliviaTomlin@gmail.com,48,no,tik tok
836, Callan Edwards,Paradise,NV, CallanEdwards@aol.com,53,yes,tik tok
844, Fallon Miller,Knoxville,TN, FallonMiller@aol.com,18,yes,tik tok
858,Lukas Simmons,Norfolk,VA,LukasSimmons@aol.com,40,yes,tik tok
875, Lila Perez,Rockford,IL, LilaPerez@yahoo.com,11,yes,tik tok
934, Ari Miller,El Monte,CA, AriMiller@yahoo.com,46,yes,tik tok
957, Esme gunderson,Conroe,TX, Esmegunderson@yahoo.com,13,yes,tik tok
985, Astrid Murray,Seattle,WA, AstridMurray@yahoo.com,9,yes,tik tok
995, Alexander Reed,Springfield,IL, AlexanderReed@yahoo.com,10,yes,tik tok
996, Briar King,Rialto,CA, BriarKing@yahoo.com,50,yes,tik tok
1038, Hudson Morgan,Jackson,MS, HudsonMorgan@hotmail.com,19,yes,tik tok
1054, Phoenix Griffin,Portland,OR, PhoenixGriffin@hotmail.com,44,yes,tik tok
1058, Orion Davis,Peoria,IL, OrionDavis@hotmail.com,27,yes,tik tok
1072, Thomas Lafleur,Mesquite,TX, ThomasLafleur@hotmail.com,44,yes,tik tok
1116, Jackson Young,Cedar Rapids,IA, JacksonYoung@hotmail.com,47,No,tik tok
1148, Willow Walker,North Charleston,SC, WillowWalker@hotmail.com,15,No,tik tok
1154, Charlie Cooper,Simi Valley,CA, CharlieCooper@hotmail.com,45,No,tik tok
89,Margo Graham,St. Louis,MO,MargoGraham@gmail.com,39,yes,tv show
223, Daisy Walker,Charlotte,NC, DaisyWalker@gmail.com,22,yes,tv show
466, Jude gunderson,Tulsa,OK, Judegunderson@gmail.com,41,yes,tv show
485, Emmett Thomas,Ann Arbor,MI, EmmettThomas@gmail.com,31,yes,tv show
530, Andrew Brooks,North Las Vegas,NV, AndrewBrooks@gmail.com,16,yes,tv show
572, Luca Chang,Arlington,TX, LucaChang@gmail.com,11,yes,tv show
781, Milo Harbaugh,Augusta ,GA, MiloHarbaugh@gmail.com,19,yes,tv show
877, Hunter Garcia,Miramar,FL, HunterGarcia@yahoo.com,40,yes,tv show
929, Chloe Harris,Denver,CO, ChloeHarris@yahoo.com,54,yes,tv show
111, Theo Rodriguez,Wilmington,NC, TheoRodriguez@gmail.com,49,yes,email news blast
312, Olivia Thompson,Henderson,NV, OliviaThompson@gmail.com,12,no,email news blast
337,Lukas Mitchell,Brownsville,TX,LukasMitchell@gmail.com,9,yes,email news blast
376, Oliver Johnson,Santa Rosa,CA, OliverJohnson@gmail.com,14,yes,email news blast
464,Greyson Robinson,Naperville,IL,GreysonRobinson@gmail.com,34,yes,email news blast
544, Ophelia Baker,St. George,UT, OpheliaBaker@gmail.com,37,yes,email news blast
634, Noah Long,Mesquite,TX, NoahLong@gmail.com,29,no,email news blast
721, Wren Carter,Springfield,IL, WrenCarter@gmail.com,49,no,email news blast
730,Lukas Cooper,Columbus,GA,LukasCooper@gmail.com,50,no,email news blast
181, Sage Lee,Seattle,WA, SageLee@gmail.com,23,yes,google search
266, Ash Walker,Beaumont,TX, AshWalker@gmail.com,12,no,google search
374, Mabel Chavez,Lynn,MA, MabelChavez@gmail.com,53,yes,google search
498, Luke Moore,Metairie,LA, LukeMoore@gmail.com,20,yes,google search
574, Camden Walker,Fullerton,CA, CamdenWalker@gmail.com,49,yes,google search
856, Olivia Wallace,Tallahassee,FL, OliviaWallace@aol.com,26,yes,google search
1128, Eva Harris,Inglewood,CA, EvaHarris@hotmail.com,10,No,google search
1139, Scarlett Lewis,Richmond,VA, ScarlettLewis@hotmail.com,17,No,google search
7, Cassidy Foster,Greensboro,NC, CassidyFoster@gmail.com,29,yes,instagram
61, Andrew Park,Fremont,CA, AndrewPark@gmail.com,10,no,instagram
423, Eloise Jackson,St. Paul,MN, EloiseJackson@gmail.com,25,yes,instagram
